date,SP500
,SPY
2004-06-04,81.1569796928
2004-06-07,82.392503807
2004-06-08,82.507439557
2004-06-09,81.7388259443
2004-06-10,82.1410888576
2004-06-14,81.3293775712
2004-06-15,81.9040390812
2004-06-16,81.8896746266
2004-06-17,81.7675598818
2004-06-18,81.9211066134
2004-06-21,81.6110997774
2004-06-22,82.0220390716
2004-06-23,82.728568442
2004-06-24,82.4690271142
2004-06-25,82.0725045798
2004-06-28,81.7913363099
2004-06-29,82.1301817121
2004-06-30,82.5699595724
2004-07-01,81.4236573882
2004-07-02,81.3803970157
2004-07-06,80.6666617887
2004-07-07,80.9045754535
2004-07-08,80.3422381929
2004-07-09,80.5513132916
2004-07-12,80.5873577144
2004-07-13,80.6450348467
2004-07-14,80.3999102786
2004-07-15,79.8808333905
2004-07-16,79.815945355
2004-07-19,79.4770999529
2004-07-20,80.4864252561
2004-07-21,79.0012783907
2004-07-22,79.2175586251
2004-07-23,78.5542896272
2004-07-26,78.4028916608
2004-07-27,79.1382545507
2004-07-28,79.3761674947
2004-07-29,79.7150136177
2004-07-30,79.9096661891
2004-08-02,80.0754866829
2004-08-03,79.4554722899
2004-08-04,79.4482613867
2004-08-05,78.1505619571
2004-08-06,77.0330925715
2004-08-09,77.1412359329
2004-08-10,78.1361394297
2004-08-11,77.9775363277
2004-08-12,77.1268191731
2004-08-13,77.2782171395
2004-08-16,78.078468065
2004-08-17,78.5182459254
2004-08-18,79.3257019865
2004-08-19,79.0949992248
2004-08-20,79.6501306289
2004-08-23,79.4482613867
2004-08-24,79.5564040272
2004-08-25,80.0971136249
2004-08-26,80.0971136249
2004-08-27,80.3494440495
2004-08-30,79.6861750516
2004-08-31,80.104325249
2004-09-01,80.2557232154
2004-09-02,81.1641167814
2004-09-03,80.8324822824
2004-09-07,81.3659809769
2004-09-08,81.1641167814
2004-09-09,81.0920228893
2004-09-10,81.5101680401
2004-09-13,81.7769195502
2004-09-14,81.9427400439
2004-09-15,81.322725651
2004-09-16,81.5678444515
2004-09-17,81.9130212025
2004-09-20,81.4207460337
2004-09-21,81.7754717594
2004-09-22,80.7547291151
2004-09-23,80.3203649672
2004-09-24,80.6895722487
2004-09-27,80.1755805376
2004-09-28,80.5592643074
2004-09-29,80.9646646196
2004-09-30,80.9067543226
2004-10-01,82.2749877061
2004-10-04,82.4125306338
2004-10-05,82.4559709578
2004-10-06,83.0206372555
2004-10-07,82.130197485
2004-10-08,81.449704078
2004-10-11,81.7827125373
2004-10-12,81.4641805663
2004-10-13,80.7474883371
2004-10-14,80.0959471829
2004-10-15,80.5447878191
2004-10-18,80.8488382342
2004-10-19,80.1683397596
2004-10-20,80.0090737741
2004-10-21,80.5303062632
2004-10-22,79.6253900043
2004-10-25,79.5312808852
2004-10-26,80.7474883371
2004-10-27,81.7175556709
2004-10-28,81.9636957891
2004-10-29,81.9492142332
2004-11-01,82.1736370851
2004-11-02,82.2025951293
2004-11-03,83.2378193295
2004-11-04,84.3743941506
2004-11-05,84.9028623501
2004-11-08,84.7797951867
2004-11-09,84.6132876994
2004-11-10,84.6784445657
