date,SPY,GOOGL,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK-B,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO,AMAT,POWI,TDOC,TTD,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,SP500,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Video,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health,Applied Materials,Power Integrations,Teladoc,Trade Desk,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-01-30,49845900,0,7268900,5965700,43938700,5501500,5942400,89100,55537500,7349500,7525400,68226500,3267200,1184500,8743000,7053600,0,9122100,5219600,8000,7733300,3759800,16044200,8250400,12433000,6907100,401500,7055600,3092900,5980000,2213400,0,0,16315000,3676800,21649400,994900,0,0,4197800,0,0,541200,0,0,4605200,0,0,0,0,0,0,0,0,39100,0,0,0,0,8366000,16161000,15082000,1400700,6192200,1869000,0,8547100,0,30455600,7139400,0,0,0,0,0,99500,0,0,4422800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961100,0,0,0,0,0,29359100,843100,0,0,0,0,0,986000,0,0,0,4404200,0,0
2003-01-31,55317000,0,6093300,6262500,53429200,6491600,7499400,83400,65637900,9744100,10069200,103330200,3849200,731700,9902600,12433300,0,9560900,5652500,9400,9962800,3927800,14137800,8744500,11875000,6487100,358500,8874300,4086900,5633700,2379600,0,0,16386900,8457100,26239200,1677000,0,0,6038400,0,0,1081000,0,0,5382700,0,0,0,0,0,0,0,0,10800,0,0,0,0,8058000,20356100,23643000,1642400,7913800,1476100,0,13762300,0,17656100,5566000,0,0,0,0,0,62000,0,0,5278300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506000,0,0,0,0,0,70229200,756000,0,0,0,0,0,457000,0,0,0,5459800,0,0
2003-02-03,39696000,0,4728300,5195500,40064900,5439200,4204300,38800,43773800,6683500,7192400,65976600,2807500,500500,11269000,6314500,0,7833000,4258700,10200,5852600,3043100,12549800,7407600,6302700,4520400,284700,6697300,2574700,5277700,3511000,0,0,12181700,3708800,21327600,1173400,0,0,4441300,0,0,497500,0,0,2866100,0,0,0,0,0,0,0,0,9200,0,0,0,0,5992000,15061300,13562000,1167000,6296300,1450600,0,12334400,0,11059600,3497500,0,0,0,0,0,34800,0,0,2793400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213700,0,0,0,0,0,27950900,661100,0,0,0,0,0,367000,0,0,0,5355200,0,0
2003-02-04,43633400,0,5668100,4817600,40927400,5269100,3803800,85900,41066900,7216200,6144700,110586200,2442900,774600,11609100,5600200,0,8152200,6194000,25200,7022900,3440400,11141500,8018400,6276900,5194600,368600,6807300,2908400,5708400,3252400,0,0,12801300,3720300,24473300,9649700,0,0,3406100,0,0,553300,0,0,2502100,0,0,0,0,0,0,0,0,20200,0,0,0,0,35856000,16261900,18613000,1336200,5231000,2002000,0,11722000,0,7740800,3371900,0,0,0,0,0,19500,0,0,3262700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374000,0,0,0,0,0,33460000,854300,0,0,0,0,0,321000,0,0,0,3153400,0,0
2003-02-05,55270600,0,3957400,5343100,50536000,5376100,8189600,62600,50881700,7427200,4906800,115080200,2531000,1155000,8659800,5882100,0,8414600,6681600,8900,5935200,3638300,11048800,7409600,5965900,4682200,326300,4762500,3609800,5239100,1884600,0,0,12156500,3670600,19998900,9079900,0,0,2948000,0,0,646500,0,0,2869300,0,0,0,0,0,0,0,0,26500,0,0,0,0,15848000,14772800,14062000,1329000,4845900,1800800,0,13013400,0,7837700,2851400,0,0,0,0,0,19100,0,0,4126100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364200,0,0,0,0,0,40014900,849100,0,0,0,0,0,176000,0,0,0,3535200,0,0
2003-02-06,53638000,0,3199100,4037700,41656000,4058600,6626900,445500,47355000,7755200,3548900,58738900,2877900,864800,6863500,5120400,0,8906400,7129100,10200,6356600,3550500,17750200,8363600,5027100,7814000,268300,5625100,4731200,5670000,1777900,0,0,11956900,2875500,19594000,9378900,0,0,2405300,0,0,728800,0,0,2775200,0,0,0,0,0,0,0,0,32800,0,0,0,0,15952000,16664300,15896000,1445500,10218200,1434400,0,9837500,0,12720800,4219400,0,0,0,0,0,36800,0,0,6104900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627700,0,0,0,0,0,26724700,370600,0,0,0,0,0,2012000,0,0,0,4687100,0,0
2003-02-07,43165000,0,4816100,6942900,37604000,4396000,4853000,166700,49537900,8296400,3788100,69851700,2018000,673100,6225500,6869600,0,9526700,4944800,12900,6270800,3808200,11844100,8193100,4758200,6692600,191700,5469300,2989700,5152800,1752800,0,0,9300500,2796700,22822100,3932100,0,0,2422000,0,0,905100,0,0,2777300,0,0,0,0,0,0,0,0,10800,0,0,0,0,13354000,17466400,16165000,1391300,7626300,1149500,0,6905600,0,6026900,3649000,0,0,0,0,0,88100,0,0,2759400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464100,0,0,0,0,0,28002400,733400,0,0,0,0,0,516000,0,0,0,3506700,0,0
2003-02-10,45455900,0,2998000,8096500,37040700,4654200,5088500,156100,52977000,7949100,4184800,55955700,1794300,1213900,12545900,6215200,0,9080900,5626700,18000,8070200,3646700,8863200,7758300,4527600,3870800,585500,4617300,2898200,5691600,1355800,0,0,10395000,2706600,23560500,2771300,0,0,2673300,0,0,898000,0,0,5216100,0,0,0,0,0,0,0,0,110300,0,0,0,0,11310000,15356200,15335000,1617600,8188600,1194700,0,6589900,0,8852600,4916700,0,0,0,0,0,30800,0,0,3104400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396400,0,0,0,0,0,28078400,579100,0,0,0,0,0,285000,0,0,0,3146500,0,0
2003-02-11,46861000,0,2942500,6679000,42146000,3593500,8853000,188700,47251200,8598200,3590800,71241800,3127900,1055100,9396800,6271900,0,12582400,5543500,11600,8016600,3466000,10129700,7643300,7514700,4239300,357100,6907300,3503400,4471300,2786200,0,0,9983900,3212000,21898300,3710600,0,0,4415800,0,0,431600,0,0,4476300,0,0,0,0,0,0,0,0,17900,0,0,0,0,9520000,15030400,19228000,1427800,7089300,1318200,0,12861400,0,6803200,4426900,0,0,0,0,0,17700,0,0,3070800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443100,0,0,0,0,0,36012300,577200,0,0,0,0,0,453000,0,0,0,3395500,0,0
2003-02-12,35873600,0,4083700,5433900,35657600,3380200,4327800,34300,38401800,5609200,5085100,58732000,2646500,605900,9695600,6507000,0,9567700,5134000,16800,15589100,2768100,7826100,7739000,9294700,4003400,441500,5807600,2843500,4451100,5140300,0,0,9607600,2238800,18219100,2035000,0,0,2238100,0,0,746900,0,0,2893400,0,0,0,0,0,0,0,0,57000,0,0,0,0,7258000,14432600,14584000,1319600,5345000,881800,0,11504100,0,6715100,3607800,0,0,0,0,0,26700,0,0,4341900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416700,0,0,0,0,0,46302500,506600,0,0,0,0,0,143000,0,0,0,2266100,0,0
