date,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-12-03,0.0,0.0,0.0,61.5,0.0,0.0,0.0,22.2375494475,0.0,0.0
2003-12-04,0.0,0.0,0.0,60.5,0.0,0.0,0.0,21.8403112612,0.0,0.0
2003-12-05,0.0,0.0,0.0,61.3,0.0,0.0,0.0,21.7585269288,0.0,0.0
2003-12-08,0.0,0.0,0.0,60.9,0.0,0.0,0.0,22.1168201948,0.0,0.0
2003-12-09,0.0,0.0,0.0,60.5,0.0,0.0,0.0,21.7624214208,0.0,0.0
2003-12-10,0.0,0.0,0.0,57.4,0.0,0.0,0.0,21.2094035536,0.0,0.0
2003-12-11,0.0,0.0,0.0,58.6,0.0,0.0,0.0,21.6650591202,0.0,0.0
2003-12-12,0.0,0.0,0.0,59.225,0.0,0.0,0.0,21.4391785829,0.0,0.0
2003-12-15,0.0,0.0,0.0,58.3,0.0,0.0,0.0,21.100357777,0.0,0.0
2003-12-16,0.0,0.0,0.0,58.7,0.0,0.0,0.0,20.8588992716,0.0,0.0
2003-12-17,0.0,0.0,0.0,58.9,0.0,0.0,0.0,21.3573942505,0.0,0.0
2003-12-18,0.0,0.0,0.0,64.0,0.0,0.0,0.0,21.6572701362,0.0,0.0
2003-12-19,0.0,0.0,0.0,64.4,0.0,0.0,0.0,21.5482243596,0.0,0.0
2003-12-22,0.0,0.0,0.0,67.3,0.0,0.0,0.0,21.100357777,0.0,0.0
2003-12-23,0.0,0.0,0.0,69.5,0.0,0.0,0.0,21.0536238727,0.0,0.0
2003-12-24,0.0,0.0,0.0,70.7,0.0,0.0,0.0,21.0302569206,0.0,0.0
2003-12-26,0.0,0.0,0.0,68.2,0.0,0.0,0.0,21.3651832345,0.0,0.0
2003-12-29,0.0,0.0,0.0,69.9,0.0,0.0,0.0,21.4197061228,0.0,0.0
2003-12-30,0.0,0.0,0.0,73.43,0.0,0.0,0.0,21.4002336627,0.0,0.0
2003-12-31,0.0,0.0,0.0,72.5,0.0,0.0,0.0,21.5715913117,0.0,0.0
2004-01-02,0.0,0.0,0.0,74.8,0.0,0.0,0.0,20.9913120004,0.0,0.0
2004-01-05,0.0,0.0,0.0,78.0,0.0,0.0,0.0,20.9406836041,0.0,0.0
2004-01-06,0.0,0.0,0.0,75.9,0.0,0.0,0.0,21.5365408835,0.0,0.0
2004-01-07,0.0,0.0,0.0,78.5,0.0,0.0,0.0,21.5365408835,0.0,0.0
2004-01-08,0.0,0.0,0.0,78.5,0.0,0.0,0.0,20.9757340323,0.0,0.0
2004-01-09,0.0,0.0,0.0,80.5,0.0,0.0,0.0,20.6408077184,0.0,0.0
2004-01-12,0.0,0.0,0.0,90.1,0.0,0.0,0.0,20.060528407,0.0,0.0
2004-01-13,0.0,0.0,0.0,95.8,0.0,0.0,0.0,20.3876657369,0.0,0.0
2004-01-14,0.0,0.0,0.0,99.9,0.0,0.0,0.0,20.6213352582,0.0,0.0
2004-01-15,0.0,0.0,0.0,92.5,0.0,0.0,0.0,20.6875791546,0.0,0.0
2004-01-16,0.0,0.0,0.0,95.5,0.0,0.0,0.0,20.6096451589,0.0,0.0
2004-01-20,0.0,0.0,0.0,104.6,0.0,0.0,0.0,20.3992233705,0.0,0.0
2004-01-21,0.0,0.0,0.0,94.3,0.0,0.0,0.0,21.1201128306,0.0,0.0
2004-01-22,0.0,0.0,0.0,94.2,0.0,0.0,0.0,21.5136795088,0.0,0.0
2004-01-23,0.0,0.0,0.0,94.8,0.0,0.0,0.0,21.5409564073,0.0,0.0
2004-01-26,0.0,0.0,0.0,99.0,0.0,0.0,0.0,21.6734442,0.0,0.0
2004-01-27,0.0,0.0,0.0,95.0,0.0,0.0,0.0,21.6344772021,0.0,0.0
2004-01-28,0.0,0.0,0.0,95.0,0.0,0.0,0.0,20.9642448393,0.0,0.0
2004-01-29,0.0,0.0,0.0,91.3,0.0,0.0,0.0,20.76940985,0.0,0.0
2004-01-30,0.0,0.0,0.0,94.4,0.0,0.0,0.0,20.8668273446,0.0,0.0
2004-02-02,0.0,0.0,0.0,92.7,0.0,0.0,0.0,20.9369679408,0.0,0.0
